case_id,split,family,chain_limit,weight,budget,prefix_sum,final_cost,optimum_prefix_sum,total_recourse,max_request_recourse,cpu_seconds,wall_seconds
clustered_01,eval,clustered,5,1/2,1,21,6,21,0,0,0.0,0.0054719999970984645
clustered_01,eval,clustered,5,1/2,2,21,6,21,0,0,0.0,0.0037723999994341284
clustered_01,eval,clustered,5,1/2,4,21,6,21,0,0,0.015625,0.0036560999942594208
clustered_02,eval,clustered,1,0,1,29,8,21,1,1,0.0,0.00014910000027157366
clustered_02,eval,clustered,1,0,2,29,8,21,1,1,0.0,0.0002032999982475303
clustered_02,eval,clustered,1,0,4,29,8,21,1,1,0.0,0.00015469999925699085
clustered_02,eval,clustered,1,1/2,1,29,8,21,1,1,0.0,0.00012969999806955457
clustered_02,eval,clustered,1,1/2,2,29,8,21,1,1,0.0,0.0001795999996829778
clustered_02,eval,clustered,1,1/2,4,29,8,21,1,1,0.0,0.00015430000348715112
clustered_02,eval,clustered,5,0,1,21,6,21,2,1,0.0,0.00022670000180369243
clustered_02,eval,clustered,5,0,2,21,6,21,2,1,0.0,0.004957499993906822
clustered_02,eval,clustered,5,0,4,21,6,21,2,1,0.0,0.0050717000049189664
clustered_02,eval,clustered,5,1/2,1,21,6,21,2,1,0.0,0.0002519999979995191
clustered_02,eval,clustered,5,1/2,2,21,6,21,2,1,0.015625,0.0040176000038627535
clustered_02,eval,clustered,5,1/2,4,21,6,21,2,1,0.0,0.0041233000010834076
clustered_03,eval,clustered,1,0,1,21,6,21,0,0,0.0,0.0001720000000204891
clustered_03,eval,clustered,1,0,2,21,6,21,0,0,0.0,0.00015900000289548188
clustered_03,eval,clustered,1,0,4,21,6,21,0,0,0.0,0.00015269999857991934
clustered_03,eval,clustered,1,1/2,1,21,6,21,0,0,0.0,0.00016060000052675605
clustered_03,eval,clustered,1,1/2,2,21,6,21,0,0,0.0,0.0001506000044173561
clustered_03,eval,clustered,1,1/2,4,21,6,21,0,0,0.0,0.000152299995534122
clustered_03,eval,clustered,5,0,1,21,6,21,0,0,0.0,0.004581100001814775
clustered_03,eval,clustered,5,0,2,21,6,21,0,0,0.015625,0.004466200000024401
clustered_03,eval,clustered,5,0,4,21,6,21,0,0,0.0,0.004211400002532173
clustered_03,eval,clustered,5,1/2,1,21,6,21,0,0,0.0,0.004009899996162858
clustered_03,eval,clustered,5,1/2,2,21,6,21,0,0,0.0,0.004370599999674596
clustered_03,eval,clustered,5,1/2,4,21,6,21,0,0,0.015625,0.004567199997836724
clustered_04,eval,clustered,1,0,1,23,8,21,1,1,0.0,0.0001953999963006936
clustered_04,eval,clustered,1,0,2,23,8,21,1,1,0.0,0.0001919999995152466
clustered_04,eval,clustered,1,0,4,23,8,21,1,1,0.0,0.000243800001044292
clustered_04,eval,clustered,1,1/2,1,23,8,21,1,1,0.0,0.0002032999982475303
clustered_04,eval,clustered,1,1/2,2,23,8,21,1,1,0.0,0.00016909999976633117
clustered_04,eval,clustered,1,1/2,4,23,8,21,1,1,0.0,0.00017250000382773578
clustered_04,eval,clustered,5,0,1,21,6,21,2,1,0.0,0.0040863999965949915
clustered_04,eval,clustered,5,0,2,21,6,21,2,1,0.015625,0.006817199995566625
clustered_04,eval,clustered,5,0,4,21,6,21,2,1,0.0,0.003974200000811834
clustered_04,eval,clustered,5,1/2,1,21,6,21,2,1,0.0,0.003924999997252598
clustered_04,eval,clustered,5,1/2,2,21,6,21,2,1,0.0,0.0046285999997053295
clustered_04,eval,clustered,5,1/2,4,21,6,21,2,1,0.015625,0.004572400001052301
