base_graph_id,instance_id,n,d,k,greedy,optimum,initial_upper,prefix_upper,dual_upper,endpoint,tightening_initial,tightening_prefix,initial_ratio,prefix_ratio,dual_ratio,ratio_gain_initial,ratio_gain_prefix,dual_over_optimum,initial_certified,prefix_certified,dual_certified
r2-preflight-n16-d3-r0000,0f2c979ef99537f293a39a69fe1d86abc4247fecaedd0561a3450bef239fee4f,16,3,6,13,15,15,15,15,interior,0,0,0.8666666666666667,0.8666666666666667,0.8666666666666667,0.0,0.0,1.0,0,0,0
r2-preflight-n16-d3-r0000,2c905d7089de3faa5bc182cfed410fd69530a1484f3484140f365686caa2e46e,16,3,8,15,15,15,15,15,interior,0,0,1.0,1.0,1.0,0.0,0.0,1.0,1,1,1
r2-preflight-n16-d3-r0000,538d4303a51936dc685d0b7bf6d0c2a12fef186ec51bccceb1509136c114bb70,16,3,11,15,15,15,15,15,interior,0,0,1.0,1.0,1.0,0.0,0.0,1.0,1,1,1
r2-preflight-n16-d3-r0000,72cd9a779fd66258d3fc2a3de7a872c62db0a5c76a6186cf3035e3ba2dd49d83,16,3,16,15,15,15,15,15,k=M,0,0,1.0,1.0,1.0,0.0,0.0,1.0,1,1,1
r2-preflight-n16-d3-r0001,21b469ea5748b9ee191d84be2325efc21a3d3f2acb87372a00e58ba467146e58,16,3,1,3,3,3,3,3,k=1,0,0,1.0,1.0,1.0,0.0,0.0,1.0,1,1,1
r2-preflight-n16-d3-r0001,7925da56661f98fb03ffcf9623b77416ad65d34ca33a5bbcb875d5b1a9f19625,16,3,2,6,6,6,6,6,interior,0,0,1.0,1.0,1.0,0.0,0.0,1.0,1,1,1
r2-preflight-n16-d3-r0001,fb9e72916401f0b908a024b6665944cadf9104a0b8534e0fcfe0344bf7c1e50a,16,3,3,9,9,9,9,9,interior,0,0,1.0,1.0,1.0,0.0,0.0,1.0,1,1,1
r2-preflight-n16-d3-r0001,f0f4876caa19e8322a0a4314bfc36d20494e1c8f8e1116d452fe739d8c75ee27,16,3,4,11,12,12,12,12,interior,0,0,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.0,0.0,1.0,0,0,0
r2-preflight-n16-d3-r0001,95359e9bdbf82de01db466b81a2a7c71fd622951d839116f8f8a10be3d122fd7,16,3,6,15,15,15,15,15,interior,0,0,1.0,1.0,1.0,0.0,0.0,1.0,1,1,1
r2-preflight-n16-d3-r0001,c15b7fc7974f81f05b2d444e0a21e45d07bec679d559b7f59584f911a9460826,16,3,8,15,15,15,15,15,interior,0,0,1.0,1.0,1.0,0.0,0.0,1.0,1,1,1
r2-preflight-n16-d3-r0001,5660fbbeff7e82fe861e8acbe6fe4e78f957fde42b7bfc7f7c4a44705e4e29b1,16,3,11,15,15,15,15,15,interior,0,0,1.0,1.0,1.0,0.0,0.0,1.0,1,1,1
r2-preflight-n16-d3-r0001,0893a3c40ef4e209b026baff33c96132c12936eb9fb6fcdef653e95b16e5ff90,16,3,16,15,15,15,15,15,k=M,0,0,1.0,1.0,1.0,0.0,0.0,1.0,1,1,1
r2-preflight-n16-d4-r0000,6e538957b0bb66454fed032ad9c854d6f9d5d62946c9b18e8f1383160baff068,16,4,1,4,4,4,4,4,k=1,0,0,1.0,1.0,1.0,0.0,0.0,1.0,1,1,1
r2-preflight-n16-d4-r0000,e15a8f6319afec921309889b3de192b7404667719ed1364938cd0dfa947f98f6,16,4,2,8,8,8,8,8,interior,0,0,1.0,1.0,1.0,0.0,0.0,1.0,1,1,1
r2-preflight-n16-d4-r0000,85c4260b8c42f59efc6523865bce6eec58dd5f9e3393b0599fba4632ad388fdf,16,4,3,11,12,12,12,12,interior,0,0,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.0,0.0,1.0,0,0,0
r2-preflight-n16-d4-r0000,5adc69c451240c71ab35af02445a2083e2e6bfba13984aef390d6beec19b9f8d,16,4,4,14,16,16,16,16,interior,0,0,0.875,0.875,0.875,0.0,0.0,1.0,0,0,0
r2-preflight-n16-d4-r0000,766d157e4eaf7e2321fc22b5415d7b807d74c608b5d53d20579dbe80b6d371f6,16,4,6,16,16,16,16,16,interior,0,0,1.0,1.0,1.0,0.0,0.0,1.0,1,1,1
r2-preflight-n16-d4-r0000,22bc6887b92ce358039d482a207993a193758bf14c390ae7b4f970f282c063ba,16,4,8,16,16,16,16,16,interior,0,0,1.0,1.0,1.0,0.0,0.0,1.0,1,1,1
r2-preflight-n16-d4-r0000,098dfeb46221ceaeab4ce196550c08af023a2f065542964f23b69e83a31cc11b,16,4,16,16,16,16,16,16,k=M,0,0,1.0,1.0,1.0,0.0,0.0,1.0,1,1,1
r2-preflight-n16-d4-r0001,6c8ae68a067569c2168445e7074ee7db9686a2c3c5abd43a88d3bb16cec69d34,16,4,1,4,4,4,4,4,k=1,0,0,1.0,1.0,1.0,0.0,0.0,1.0,1,1,1
r2-preflight-n16-d4-r0001,9d98996717041cc698f04b360d6a6efe3892a7b0416557f7485d7aa6df03d6ef,16,4,2,8,8,8,8,8,interior,0,0,1.0,1.0,1.0,0.0,0.0,1.0,1,1,1
r2-preflight-n16-d4-r0001,c0b3e81e0204e3f2a94d56792326e043d0fe130e570c4717a14d34037d84e51d,16,4,3,12,12,12,12,12,interior,0,0,1.0,1.0,1.0,0.0,0.0,1.0,1,1,1
r2-preflight-n16-d4-r0001,287744225d01150279361631444f150e99cb7e8bf846da6a8b8288270b8ff000,16,4,4,14,14,16,16,16,interior,0,0,0.875,0.875,0.875,0.0,0.0,1.1428571428571428,0,0,0
r2-preflight-n16-d4-r0001,8f73292a8a7b6bda5276761a74ebb420bd5e3d173ce600a3d41d36d21e0d8767,16,4,6,16,16,16,16,16,interior,0,0,1.0,1.0,1.0,0.0,0.0,1.0,1,1,1
r2-preflight-n16-d4-r0001,44f48135cf05db4fda1075ba21a7f25e7fd817126385a6ddac2e87792fc79f50,16,4,8,16,16,16,16,16,interior,0,0,1.0,1.0,1.0,0.0,0.0,1.0,1,1,1
r2-preflight-n16-d4-r0001,0d622e09fd21c278da8d7dc2dff7a2282dc5cd557081c3d5afd72086b71a80d1,16,4,16,16,16,16,16,16,k=M,0,0,1.0,1.0,1.0,0.0,0.0,1.0,1,1,1
r2-preflight-n20-d2-r0000,2e88a2bd774b42d10cf56f7f094285b023e11b99dd09e4a9ebd50ccd2df91986,20,2,1,2,2,2,2,2,k=1,0,0,1.0,1.0,1.0,0.0,0.0,1.0,1,1,1
r2-preflight-n20-d2-r0000,3dd897d7e5ea56baebee99a393a0783ccdc531dce24e74eed7cdc4a8a275ee24,20,2,3,6,6,6,6,6,interior,0,0,1.0,1.0,1.0,0.0,0.0,1.0,1,1,1
r2-preflight-n20-d2-r0000,1c24901248766164a0b20fb4bded3e3ef0c6f380b303bed65c58c114c8def300,20,2,5,10,10,10,10,10,interior,0,0,1.0,1.0,1.0,0.0,0.0,1.0,1,1,1
r2-preflight-n20-d2-r0000,592da7fe78639eb71acd947b2aa7fc39082ec04f7eeb66b8ba35b7f3276cb3ec,20,2,8,15,16,16,16,16,interior,0,0,0.9375,0.9375,0.9375,0.0,0.0,1.0,0,0,0
r2-preflight-n20-d2-r0000,d4a862f1eb03c86b37f72fdf74a5543a3f27995025a2d6621dff5c37a30624fc,20,2,10,17,19,19,19,19,interior,0,0,0.8947368421052632,0.8947368421052632,0.8947368421052632,0.0,0.0,1.0,0,0,0
r2-preflight-n20-d2-r0000,bb94cb00f34e777ed1c94ff5f20e0fc9f121a058dfb9220c8bfd81cfe21e8676,20,2,15,19,19,19,19,19,interior,0,0,1.0,1.0,1.0,0.0,0.0,1.0,1,1,1
r2-preflight-n20-d2-r0000,e87d1ce7e8beb2fd6df54c3f1ff1abb81d14f7457cad01b91323c37d1fe1ff72,20,2,20,19,19,19,19,19,k=M,0,0,1.0,1.0,1.0,0.0,0.0,1.0,1,1,1
r2-preflight-n20-d2-r0001,a6d1280c3e4c7a461f115bf102448e1180559b3cc46c6b8a35afb592d79d8f95,20,2,1,2,2,2,2,2,k=1,0,0,1.0,1.0,1.0,0.0,0.0,1.0,1,1,1
r2-preflight-n20-d2-r0001,3d8750561dc313f914de4fb0b0bc09fcb90e7ccbd1f744522e8a750a4317c781,20,2,3,6,6,6,6,6,interior,0,0,1.0,1.0,1.0,0.0,0.0,1.0,1,1,1
r2-preflight-n20-d2-r0001,3577a4738c946e1b8c3a48df4255190cf30b47c006b5e86f95b255ec4a7fdd6a,20,2,5,10,10,10,10,10,interior,0,0,1.0,1.0,1.0,0.0,0.0,1.0,1,1,1
r2-preflight-n20-d2-r0001,cfeababafad2fba459657906be9a023b48a554fda440c61abdb71d1814a48371,20,2,8,15,16,16,16,16,interior,0,0,0.9375,0.9375,0.9375,0.0,0.0,1.0,0,0,0
r2-preflight-n20-d2-r0001,2f5990bd4d60e2b584ec51329c6bc71c11f357c66e8c62a6abb75374581763b3,20,2,10,16,16,16,16,16,interior,0,0,1.0,1.0,1.0,0.0,0.0,1.0,1,1,1
r2-preflight-n20-d2-r0001,c79f192eab766406b2621d42524d1c5effea9966109c6221de1c2e42fec0e37d,20,2,15,16,16,16,16,16,interior,0,0,1.0,1.0,1.0,0.0,0.0,1.0,1,1,1
r2-preflight-n20-d2-r0001,fc8a7828eb0d2a14a031e9cef2f6963a98d045b35b9121ea3653e14e9397e79d,20,2,20,16,16,16,16,16,k=M,0,0,1.0,1.0,1.0,0.0,0.0,1.0,1,1,1
